[2026-04-15 20:14:28] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': '1fd39f21b2f3bc2a5593655270990342', 'members': [{'user': {'username': 'dm_nero078', 'public_flags': 128, 'primary_guild': None, 'id': '356538080762658816', 'global_name': 'DM_Nero078', 'display_name_styles': None, 'display_name': 'DM_Nero078', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '58ebcd62dc051bbb877d53a62dfc7d9c'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-15T16:55:45.140000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'volksito_', 'public_flags': 64, 'primary_guild': None, 'id': '674290081028112394', 'global_name': 'Volk', 'display_name_styles': None, 'display_name': 'Volk', 'discriminator': '0', 'collectibles': {'nameplate': {'sku_id': '1417311919454425269', 'palette': 'forest', 'label': 'COLLECTIBLES_NAMEPLATE_BONANZA_THE_SAME_DUCK_NP_A11Y', 'expires_at': None, 'asset': 'nameplates/nameplate_bonanza/the_same_duck/'}}, 'bot': False, 'avatar_decoration_data': {'sku_id': '1207047597294886923', 'expires_at': None, 'asset': 'a_250640ab00a8837a1d56f35879138177'}, 'avatar': '27c0e7b6771415fc7908aca24658c8cb'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-15T18:02:45.424164+00:00', 'flags': 1, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'botPrueba', 'public_flags': 0, 'primary_guild': None, 'id': '1494019190393274381', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1133', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'bac8545ceca8765540bcdf33178af630'}, 'roles': ['1494021396479738057', '1494029310216900870'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-15T17:07:38.530000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1494018403365556354', 'chunk_index': 0, 'chunk_count': 1}}
[2026-04-15 20:14:28] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-15 20:14:28] [DEBUG   ] discord.state: Processed a chunk for 3 members in guild ID 1494018403365556354.
[2026-04-15 20:14:29] [DEBUG   ] discord.client: Dispatching event guild_available
[2026-04-15 20:14:29] [DEBUG   ] discord.client: Dispatching event ready
[2026-04-15 20:14:31] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '356538080762658816', 'timestamp': 1776276871, 'member': {'user': {'username': 'dm_nero078', 'public_flags': 128, 'primary_guild': None, 'id': '356538080762658816', 'global_name': 'DM_Nero078', 'display_name_styles': None, 'display_name': 'DM_Nero078', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '58ebcd62dc051bbb877d53a62dfc7d9c'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-15T16:55:45.140000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1494018405206986926', 'guild_id': '1494018403365556354'}}
[2026-04-15 20:14:31] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-15 20:14:31] [DEBUG   ] discord.client: Dispatching event typing
[2026-04-15 20:14:31] [DEBUG   ] discord.client: Dispatching event raw_typing
[2026-04-15 20:14:37] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-04-15T18:14:37.797000+00:00', 'pinned': False, 'nonce': '1494038254188494848', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-15T16:55:45.140000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1494038254649872456', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!poll Nicki Niclone Si o no?', 'components': [], 'channel_type': 0, 'channel_id': '1494018405206986926', 'author': {'username': 'dm_nero078', 'public_flags': 128, 'primary_guild': None, 'id': '356538080762658816', 'global_name': 'DM_Nero078', 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': None, 'avatar_decoration_data': None, 'avatar': '58ebcd62dc051bbb877d53a62dfc7d9c'}, 'attachments': [], 'guild_id': '1494018403365556354'}}
[2026-04-15 20:14:37] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-15 20:14:37] [DEBUG   ] discord.client: Dispatching event message
[2026-04-15 20:14:37] [DEBUG   ] discord.client: Dispatching event command
[2026-04-15 20:14:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 6, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2026-04-15T18:14:38.050000+00:00', 'pinned': False, 'nonce': '11425372285878425245', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1494021396479738057', '1494029310216900870'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-15T17:07:38.530000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1494038255711027291', 'flags': 0, 'embeds': [{'type': 'rich', 'title': 'New Poll', 'id': '1494038255711027292', 'description': 'Nicki Niclone Si o no?', 'content_scan_version': 0, 'color': 3066993}], 'edited_timestamp': None, 'content': '', 'components': [], 'channel_type': 0, 'channel_id': '1494018405206986926', 'author': {'username': 'botPrueba', 'public_flags': 0, 'primary_guild': None, 'id': '1494019190393274381', 'global_name': None, 'display_name_styles': None, 'discriminator': '1133', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'bac8545ceca8765540bcdf33178af630'}, 'attachments': [], 'guild_id': '1494018403365556354'}}
[2026-04-15 20:14:38] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-15 20:14:38] [DEBUG   ] discord.client: Dispatching event message
[2026-04-15 20:14:38] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1494018405206986926/messages with {"embeds":[{"flags":0,"color":3066993,"type":"rich","description":"Nicki Niclone Si o no?","title":"New Poll"}],"content":null,"components":[],"nonce":"11425372285878425245","enforce_nonce":true,"tts":false} has returned 200
[2026-04-15 20:14:38] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (62df3a8bf3cb0dd93018dd80d06039f6).
[2026-04-15 20:14:38] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1494018405206986926/messages has received {'type': 0, 'content': '', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [{'type': 'rich', 'title': 'New Poll', 'description': 'Nicki Niclone Si o no?', 'color': 3066993, 'content_scan_version': 0}], 'timestamp': '2026-04-15T18:14:38.050000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1494038255711027291', 'channel_id': '1494018405206986926', 'author': {'id': '1494019190393274381', 'username': 'botPrueba', 'avatar': 'bac8545ceca8765540bcdf33178af630', 'discriminator': '1133', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '11425372285878425245'}
[2026-04-15 20:14:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 7, 'op': 0, 'd': {'user_id': '1494019190393274381', 'type': 0, 'message_id': '1494038255711027291', 'message_author_id': '1494019190393274381', 'member': {'user': {'username': 'botPrueba', 'public_flags': 0, 'primary_guild': None, 'id': '1494019190393274381', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1133', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'bac8545ceca8765540bcdf33178af630'}, 'roles': ['1494021396479738057', '1494029310216900870'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-15T17:07:38.530000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👎', 'id': None}, 'channel_id': '1494018405206986926', 'burst': False, 'guild_id': '1494018403365556354'}}
[2026-04-15 20:14:38] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-15 20:14:38] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2026-04-15 20:14:38] [DEBUG   ] discord.client: Dispatching event reaction_add
[2026-04-15 20:14:38] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1494018405206986926/messages/1494038255711027291/reactions/%F0%9F%91%8E/@me with None has returned 204
[2026-04-15 20:14:38] [DEBUG   ] discord.http: PUT /channels/{channel_id}/messages/{message_id}/reactions/{emoji}/@me has found its initial rate limit bucket hash (acca06189c86c292e9013a444ec3184d).
[2026-04-15 20:14:38] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2026-04-15 20:14:38] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1494018405206986926/messages/1494038255711027291/reactions/%F0%9F%91%8E/@me has received 
[2026-04-15 20:14:38] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_REACTION_ADD', 's': 8, 'op': 0, 'd': {'user_id': '1494019190393274381', 'type': 0, 'message_id': '1494038255711027291', 'message_author_id': '1494019190393274381', 'member': {'user': {'username': 'botPrueba', 'public_flags': 0, 'primary_guild': None, 'id': '1494019190393274381', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '1133', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': 'bac8545ceca8765540bcdf33178af630'}, 'roles': ['1494021396479738057', '1494029310216900870'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2026-04-15T17:07:38.530000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'emoji': {'name': '👍', 'id': None}, 'channel_id': '1494018405206986926', 'burst': False, 'guild_id': '1494018403365556354'}}
[2026-04-15 20:14:38] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2026-04-15 20:14:38] [DEBUG   ] discord.client: Dispatching event raw_reaction_add
[2026-04-15 20:14:38] [DEBUG   ] discord.client: Dispatching event reaction_add
[2026-04-15 20:14:38] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1494018405206986926/messages/1494038255711027291/reactions/%F0%9F%91%8D/@me with None has returned 204
[2026-04-15 20:14:38] [DEBUG   ] discord.http: A rate limit bucket (acca06189c86c292e9013a444ec3184d) has been exhausted. Pre-emptively rate limiting...
[2026-04-15 20:14:38] [DEBUG   ] discord.http: PUT https://discord.com/api/v10/channels/1494018405206986926/messages/1494038255711027291/reactions/%F0%9F%91%8D/@me has received 
[2026-04-15 20:14:39] [DEBUG   ] discord.client: Dispatching event command_completion
[2026-04-15 20:15:08] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 8.
[2026-04-15 20:15:08] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
